ID,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine(cc),Power(bhp),Seats,Price(in 10000$)
0,Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,First,26.6 km/kg,998,58.16,5,1.75
1,Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,First,19.67 kmpl,1582,126.2,5,12.5
2,Honda Jazz V,2011,46000,Petrol,Manual,First,18.2 kmpl,1199,88.7,5,4.5
3,Maruti Ertiga VDI,2012,87000,Diesel,Manual,First,20.77 kmpl,1248,88.76,7,6
4,Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968,140.8,5,17.74
5,Hyundai EON LPG Era Plus Option,2012,75000,LPG,Manual,First,21.1 km/kg,814,55.2,5,2.35
6,Nissan Micra Diesel XV,2013,86999,Diesel,Manual,First,23.08 kmpl,1461,63.1,5,3.5
7,Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755,171.5,8,17.5
8,Volkswagen Vento Diesel Comfortline,2013,64430,Diesel,Manual,First,20.54 kmpl,1598,103.6,5,5.2
9,Tata Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248,74,5,1.95
10,Maruti Ciaz Zeta,2018,25692,Petrol,Manual,First,21.56 kmpl,1462,103.25,5,9.95
11,Honda City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497,116.3,5,4.49
12,Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,First,25.2 kmpl,1248,74,5,5.6
13,Land Rover Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179,187.7,5,27
14,Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179,115,5,17.5
15,Mitsubishi Pajero Sport 4X4,2014,110000,Diesel,Manual,First,13.5 kmpl,2477,175.56,7,15
16,Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,First,25.8 kmpl,1498,98.6,5,5.4
17,Maruti Swift DDiS VDI,2017,25000,Diesel,Manual,First,28.4 kmpl,1248,74,5,5.99
18,Renault Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,First,20.45 kmpl,1461,83.8,5,6.34
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143,167.62,5,28
20,BMW 3 Series 320d,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995,190,5,18.55
21,Maruti S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248,88.5,5,8.25
22,Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984,177.01,5,23.5
23,Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,First,18.5 kmpl,1197,80,5,1.87
24,Volkswagen Vento Petrol Highline AT,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598,103.6,5,2.85
25,Honda City Corporate Edition,2012,51920,Petrol,Manual,First,16.8 kmpl,1497,116.3,5,4.25
26,Nissan Micra Diesel XV,2012,54000,Diesel,Manual,First,23.08 kmpl,1461,63.1,5,4.25
27,Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,Second,20.92 kmpl,998,67.1,5,2.75
28,Honda WRV i-VTEC VX,2018,37430,Petrol,Manual,First,17.5 kmpl,1199,88.7,5,9.9
29,Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494,102,7,4
30,Renault Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,First,19.01 kmpl,1461,108.45,5,7.75
31,Toyota Corolla Altis G,2012,87615,Petrol,Manual,First,14.53 kmpl,1798,138.1,5,6.75
32,Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696,184,7,12.5
33,Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698,179.5,5,11.5
34,Volkswagen Vento 1.6 Highline,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598,103.5,5,6.98
35,Maruti Wagon R LXI BSIII,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061,64,5,1.85
36,Maruti Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,First,24.3 kmpl,1248,88.5,5,8.63
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,First,18.15 kmpl,1198,82,5,4.85
38,Mercedes-Benz M-Class ML 350 CDI,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987,254.8,5,28
39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,First,22.07 kmpl,1199,73.9,5,5
40,Maruti Alto LXi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796,46.3,5,1.25
41,Tata Nano LX SE,2014,19698,Petrol,Manual,First,25.4 kmpl,624,37.5,4,1.53
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,First,25.32 kmpl,1198,77,6,5.58
43,Hyundai i20 Magna Optional 1.2,2014,35487,Petrol,Manual,First,18.5 kmpl,1197,82.9,5,4.74
44,Hyundai Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999,149.92,5,8.85
45,Toyota Corolla Altis G AT,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798,138.03,5,10.11
46,Hyundai Elantra CRDi,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991,112.2,5,4.25
47,Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,First,11.25 kmpl,2694,163.7,7,10.95
48,Hyundai Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,First,24.4 kmpl,1120,71,5,3.85
49,Mahindra Thar CRDe AC,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498,105,6,5.5
